Line,Sex,Mean,StError,Concentration,Exposure
DGRP-508,M,0,0,30,24
DGRP-83,M,0,0,30,24
DGRP-59,M,0,0,30,24
DGRP-129,M,0.134588923,0.039944267,30,24
DGRP-799,M,0,0,30,24
DGRP-217,M,0.0125,0.013185433,30,24
DGRP-228,M,0,0,30,24
DGRP-41,M,0.039473684,0.02248422,30,24
DGRP-195,M,0,0,30,24
DGRP-367,M,0,0,30,24
DGRP-371,M,0,0,30,24
DGRP-491,M,0.183040936,0.044652279,30,24
DGRP-808,M,0.013888889,0.013697309,30,24
DGRP-900,M,0.029411765,0.020641471,30,24
DGRP-508,M,1,0,30,0
DGRP-83,M,1,0,30,0
DGRP-59,M,1,0,30,0
DGRP-129,M,1,0,30,0
DGRP-799,M,1,0,30,0
DGRP-217,M,1,0,30,0
DGRP-228,M,1,0,30,0
DGRP-41,M,1,0,30,0
DGRP-195,M,1,0,30,0
DGRP-367,M,1,0,30,0
DGRP-371,M,1,0,30,0
DGRP-491,M,1,0,30,0
DGRP-808,M,1,0,30,0
DGRP-900,M,1,0,30,0
