Line,Sex,Mean,StError
RP0002,F,0.386948529,0.058634135
RP0012,F,0.09755332,0.034491807
RP0015,F,0.027777778,0.01936713
RP0022,F,0.207602339,0.047470771
RP0024,F,0.696465428,0.054186065
RP0029,F,0.397386696,0.05807602
RP0032,F,0.154166667,0.040887479
RP0033,F,0.014705882,0.014491186
RP0038,F,0.69254386,0.0532825
RP0051,F,0.404166667,0.058105744
RP0054,F,0.052704678,0.025630701
RP0058,F,0.787479575,0.048895734
RP0061,F,0.083333333,0.033765851
RP0064,F,0,0
RP0072,F,0.58126935,0.058141983
RP0075,F,0,0
RP0079,F,0.581695046,0.056959157
RP0098,F,0.123529412,0.040199112
RP0104,F,0.32250817,0.057106427
RP0106,F,0.305159959,0.055037307
RP0114,F,0.631944444,0.055320913
RP0116,F,0.131746032,0.041631321
RP0118,F,0,0
RP0122,F,0,0
RP0143,F,0.334865196,0.056815299
RP0144,F,0.155921053,0.041342673
RP0169,F,0,0
RP0185,F,0.026315789,0.018997134
RP0186,F,0.103238866,0.036898231
RP0187,F,0,0
RP0190,F,0.985294118,0.014088575
RP0202,F,0.239473684,0.049278263
RP0215,F,0.894504644,0.035471319
RP0221,F,0.521875,0.057299018
RP0227,F,0.043300654,0.025053188
RP0231,F,0.350934829,0.058306905
RP0248,F,0.372149123,0.055815667
RP0249,F,0.18881579,0.045190617
RP0252,F,0,0
RP0256,F,0.887254902,0.038075752
RP0257,F,0.7125,0.055293484
RP0269,F,0.075179426,0.029480392
RP0271,F,0.138076195,0.040103104
RP0272,F,0.013157895,0.013071043
RP0276,F,0.944199346,0.027051119
RP0278,F,0,0
RP0284,F,0.923684211,0.030657612
RP0285,F,0.339052288,0.056180774
RP0289,F,0.09375,0.035878781
RP0292,F,0.122222222,0.038335925
RP0303,F,0,0
RP0305,F,0.427350427,0.058709363
RP0314,F,0.158333333,0.041334143
RP0317,F,0.402046784,0.056616272
RP0326,F,0.025,0.017792089
RP0328,F,0.48531746,0.059735659
RP0334,F,0.0125,0.013375161
RP0336,F,0.639880952,0.060964469
RP0356,F,0.415339052,0.059323789
RP0365,F,0.051388889,0.026579951
RP0367,F,0.085784314,0.033235262
RP0373,F,0.318671219,0.058705598
RP0386,F,0.860714286,0.044332056
RP0392,F,0.027205882,0.019172362
RP0396,F,0.075,0.029448047
RP0398,F,0.028125,0.019621052
RP0407,F,0.027777778,0.020228308
RP0429,F,0.038888889,0.022032014
RP0432,F,0,0
RP0433,F,0.046997549,0.026249917
RP0434,F,0,0
RP0446,F,0.013157895,0.014026363
