Interactor_A	Interactor_B
Pi3K92E	btl::Egfr
Pi3K92E	lilli
Pi3K92E	RpL8
Pi3K92E	Trpm
Pi3K92E	Wdr62
Pi3K92E	Akt
Pi3K92E	pix
Pi3K92E	RpS26
Pi3K92E	Prp8
Pi3K92E	ebi
Pi3K92E	Pdk1
Pi3K92E	Pten
Pi3K92E	RpS3
Pi3K92E	lep
Pi3K92E	Ptp61F
Pi3K92E	RpL5
Pi3K92E	His4
Pi3K92E	hppy
Pi3K92E	Tor
Pi3K92E	ap
Pi3K92E	RIOK1
Pi3K92E	ncm
Pi3K92E	chico
Pi3K92E	E-3c1
Pi3K92E	Chro
Pi3K92E	Sesn
Pi3K92E	E-2c
Pi3K92E	Pss
Pi3K92E	rictor
Pi3K92E	Ras85D
Pi3K92E	RIOK2
Pi3K92E	RpLP1
Pi3K92E	Cds
Pi3K92E	RpS13
Pi3K92E	InR
Pi3K92E	Tl
Pi3K92E	HDAC3
Pi3K92E	Rheb
Pi3K92E	foxo
Pi3K92E	FarO
Pi3K92E	RpS5a
Pi3K92E	E-2fb
Pi3K92E	E-2fa
Pi3K92E	srl
Pi3K92E	RpS3A
Pi3K92E	RpL38
Pi3K92E	E-3c4
Pi3K92E	E-3c7
Pi3K92E	aru
Pi3K92E	RpS21
Pi3K92E	RpS17
Pi3K92E	Dronc
Pi3K92E	Pi3K21B
Pi3K92E	RtGEF
Pi3K92E	Git
Pi3K92E	Pvr
Pi3K92E	Ipo9
Pi3K92E	Droj2
Pi3K92E	Zn72D
Pi3K92E	RpL9
Pi3K92E	rin
Pi3K92E	larp
Pi3K92E	RpL17
Pi3K92E	RpS6
Pi3K92E	iPLA2-VIA
Pi3K92E	RpL21
Pi3K92E	alt
Pi3K92E	RpS7
Pi3K92E	RpS23
Pi3K92E	PyK
Pi3K92E	Syp
Pi3K92E	Rpt4
Pi3K92E	RpL35A
Pi3K92E	RpL6
Pi3K92E	Nsun2
Pi3K92E	CG30122
Pi3K92E	RpL14
Pi3K92E	RpL10
Pi3K92E	eIF3m
Pi3K92E	yps
Pi3K92E	CG15784
Pi3K92E	RpL18
Pi3K92E	RpL28
Pi3K92E	eIF3a
Pi3K92E	eIF3b
Pi3K92E	rump
Pi3K92E	vig
Pi3K92E	vig2
Pi3K92E	RpS15
Pi3K92E	eIF3c
Pi3K92E	RpL13A
Pi3K92E	RpS11
Pi3K92E	Mec2
Pi3K92E	RpL19
btl::Egfr	CG1090
btl::Egfr	Prp40
btl::Egfr	Tao
btl::Egfr	bol
btl::Egfr	Shc
btl::Egfr	dock
btl::Egfr	CG7231
btl::Egfr	Cbl
btl::Egfr	Pten
btl::Egfr	Sox100B
btl::Egfr	Gug|aop
btl::Egfr	cic
btl::Egfr	vg
btl::Egfr	Ubx
btl::Egfr	aos
btl::Egfr	if
btl::Egfr	Ip6k
btl::Egfr	gro
btl::Egfr	Sumo
btl::Egfr	sd
btl::Egfr	Dlc90F
btl::Egfr	Egfrap
btl::Egfr	NFAT
btl::Egfr	lilli
btl::Egfr	ago
btl::Egfr	EP2204
btl::Egfr	Eip78C
btl::Egfr	sty
if	Dsor1
if	sli
if	by
if	e(if)1
if	mys
if	mtm
if	Pgant3
if	msk
if	crol
if	bs
if	CalpB
if	Tsp66E
if	csw
if	moa
if	puri
if	Tsp66E|Tsp74F
if	px
if	Raf
if	cass
if	how
if	RpL19
if	mew
if	if::mew
if	Tsp
if	EcR
if	blo
if	Zasp52
if	sog
if	kon
if	p53
Dsor1	hh
Dsor1	SR3-6
Dsor1	rl
Dsor1	ksr
Dsor1	ER3-4
Dsor1	PTP-ER
Dsor1	Su(SuRaf1)IV
Dsor1	Su(phl)43B
Dsor1	Egfr
Dsor1	mts
Dsor1	Taf6
Dsor1	ER2-7B
Dsor1	Su(phl)6
Dsor1	ER2-4
Dsor1	mam
Dsor1	Src42A
Dsor1	Su(phl)7
Dsor1	aop
Dsor1	ER3-2
Dsor1	Ets21C
Dsor1	ER2-3
Dsor1	ER2-1
Dsor1	cnk
Dsor1	pnt
Dsor1	Su(phl)4
Dsor1	Su(phl)9
Dsor1	wal
Dsor1	Dp1
Dsor1	larp
Dsor1	vret
Dsor1	CG1416
Dsor1	cbs
Dsor1	Nepl3
Dsor1	cindr
Dsor1	CG12128
Dsor1	glo
Dsor1	Rbcn-3A
Dsor1	sip2
Dsor1	GCS2beta
Dsor1	Akap200
Dsor1	RhoGAP18B
Dsor1	Sec13
Dsor1	eIF4E1
Dsor1	kuk
Dsor1	Map60
Dsor1	Mcm7
Dsor1	eIF3l
Dsor1	RpS30
Dsor1	ScsbetaG
Dsor1	RpL10
Dsor1	Mkk4
Dsor1	UQCR-C2
Dsor1	Mcad
Dsor1	14-3-3epsilon
Dsor1	blanks
Dsor1	RpL9
Dsor1	CG12948
Dsor1	scny
Dsor1	Rpt6
Dsor1	SkpA
Dsor1	Saf-B
Dsor1	ZAP3
Dsor1	ScsbetaA
Dsor1	sqd
Dsor1	eIF3a
Dsor1	RpS28b
Dsor1	CG1129
Dsor1	Mec2
Dsor1	RpS20
Dsor1	cpa
Dsor1	CG4972
Dsor1	AspRS-m
Dsor1	nesd
Dsor1	HDAC1
Dsor1	RpL28
Dsor1	PyK
Dsor1	vlc
Dsor1	Rpt4
Dsor1	RfC4
Dsor1	CSN8
Dsor1	RpL24
Dsor1	RpL15
Dsor1	SERCA
Dsor1	CG14969
Dsor1	Droj2
Dsor1	Imp
Dsor1	krz
