Line,Sex,Mean,StError,Concentration,Exposure
DGRP-508,F,0.054166667,0.026312221,30,24
DGRP-83,F,0.029513889,0.021493742,30,24
DGRP-59,F,0,0,30,24
DGRP-129,F,0.944358445,0.027014804,30,24
DGRP-799,F,0.469881222,0.062386504,30,24
DGRP-217,F,0.933905229,0.028881457,30,24
DGRP-228,F,0.846527778,0.042478508,30,24
DGRP-41,F,0.302997076,0.052714455,30,24
DGRP-195,F,0.559868421,0.055849682,30,24
DGRP-367,F,0.121078431,0.038180976,30,24
DGRP-371,F,0.027777778,0.020076783,30,24
DGRP-491,F,0.634722222,0.055232752,30,24
DGRP-808,F,0.271008403,0.055131012,30,24
DGRP-900,F,0.181578947,0.045750092,30,24
DGRP-508,F,1,0,30,0
DGRP-83,F,1,0,30,0
DGRP-59,F,1,0,30,0
DGRP-129,F,1,0,30,0
DGRP-799,F,1,0,30,0
DGRP-217,F,1,0,30,0
DGRP-228,F,1,0,30,0
DGRP-41,F,1,0,30,0
DGRP-195,F,1,0,30,0
DGRP-367,F,1,0,30,0
DGRP-371,F,1,0,30,0
DGRP-491,F,1,0,30,0
DGRP-808,F,1,0,30,0
DGRP-900,F,1,0,30,0
