Line,Sex,Mean,StError,Concentration,Exposure
DGRP-508,M,0.159356725,0.045052521,15,24
DGRP-83,M,0.051315789,0.025649003,15,24
DGRP-59,M,0.0375,0.024127935,15,24
DGRP-129,M,0.912581699,0.033057928,15,24
DGRP-799,M,0.699002408,0.054436685,15,24
DGRP-217,M,0.484046053,0.057705629,15,24
DGRP-228,M,0.664035088,0.054539587,15,24
DGRP-41,M,0.579093567,0.056631799,15,24
DGRP-195,M,0.807662539,0.045510989,15,24
DGRP-367,M,0.1625,0.041245265,15,24
DGRP-371,M,0.295994582,0.053797691,15,24
DGRP-491,M,0.769444444,0.047690198,15,24
DGRP-808,M,0.656944444,0.05445525,15,24
DGRP-900,M,0.247639319,0.049512636,15,24
DGRP-508,M,1,0,15,0
DGRP-83,M,1,0,15,0
DGRP-59,M,1,0,15,0
DGRP-129,M,1,0,15,0
DGRP-799,M,1,0,15,0
DGRP-217,M,1,0,15,0
DGRP-228,M,1,0,15,0
DGRP-41,M,1,0,15,0
DGRP-195,M,1,0,15,0
DGRP-367,M,1,0,15,0
DGRP-371,M,1,0,15,0
DGRP-491,M,1,0,15,0
DGRP-808,M,1,0,15,0
DGRP-900,M,1,0,15,0
